,title,authors,average_rating,num_pages,Genre
773,Novels 1901–1902: The Sacred Fount / The Wings of the Dove,Henry James-Leo Bersani,4.68,713,Fiction
644,The Complete Novels,Jane Austen-Hugh  Thomson,4.55,1103,Fiction
18,The Lord of the Rings Box Set,J.R.R. Tolkien,4.49,1223,Fiction
379,Enthusiasm and Divine Madness,Josef Pieper-Richard Winston-Clara Winston,4.48,125,Fiction
604,Later Novels and Other Writings: The Lady in the Lake / The Little Sister / The Long Goodbye / Playback / Double Indemnity (screenplay) / Selected Essays and Letters,Raymond Chandler-Frank MacShane,4.47,1076,Fiction
606,The Lady in the Lake  The Little Sister  The Long Goodbye  Playback (Everyman's Library),Raymond Chandler-Tom Hiney,4.45,1016,Fiction
363,Gates of Fire: An Epic Novel of the Battle of Thermopylae,Steven Pressfield,4.41,392,Fiction
854,Collected Tales  Sketches  Speeches  & Essays 1891–1910,Mark Twain-Louis J. Budd,4.39,1050,Fiction
189,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo-Gloria Bird-Beth Cuthand-Valerie Martinez-Patricia Blanco,4.39,576,Fiction
6,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,4.38,815,Fiction
